dataset,person_term,LOO_mean,LOO_std,LOO_n,ICC_1_k
combined_llm_df,man,0.5650929733525503,0.25436920961942305,178,0.9284837618103453
combined_llm_df,nonbinary person,0.17875154476167118,0.2628265723645563,166,0.5913958544639896
combined_llm_df,woman,0.5824640911136488,0.22449299920520135,178,0.9342649498433738
combined_llm_df,ALL,0.4481569231904614,0.3081230836933405,522,0.9097300888057445
eval_novel_df,man,0.5575319386959354,0.19529000793006115,80,0.9297198021492178
eval_novel_df,nonbinary person,0.41011597769628944,0.2897087250258352,79,0.8529044104338914
eval_novel_df,woman,0.6047712295829076,0.18132487956951004,80,0.9359188516361977
eval_novel_df,ALL,0.5246168020933654,0.24073888459034662,239,0.921006368100156
eval_human_df,man,0.6402838850682868,0.20784082444666763,46,0.9487049177516724
eval_human_df,nonbinary person,0.3061785867286394,0.34968156330839806,46,0.8313798632115607
eval_human_df,woman,0.6876831493216838,0.23755429268661926,46,0.9653636327048866
eval_human_df,ALL,0.5447152070395367,0.3192551958724083,138,0.9424627737562858
