model_dir,person_term,population_n,population_pct,sample_n,sample_pct,pct_diff
Meta-Llama-3-8B-Instruct,man,3,0.015228426395939087,2,0.02040816326530612,0.005179736869367034
Meta-Llama-3-8B-Instruct,nonbinary person,18,0.09137055837563451,9,0.09183673469387756,0.00046617631824304173
Meta-Llama-3-8B-Instruct,woman,5,0.025380710659898477,2,0.02040816326530612,-0.004972547394592356
Mistral-7B-Instruct-v0.3,man,1,0.005076142131979695,1,0.01020408163265306,0.005127939500673365
Mistral-7B-Instruct-v0.3,nonbinary person,22,0.1116751269035533,11,0.11224489795918367,0.000569771055630372
Mistral-7B-Instruct-v0.3,woman,1,0.005076142131979695,1,0.01020408163265306,0.005127939500673365
Qwen2.5-14B-Instruct,man,7,0.03553299492385787,3,0.030612244897959183,-0.0049207500258986875
Qwen2.5-14B-Instruct,nonbinary person,28,0.14213197969543148,14,0.14285714285714285,0.0007251631617113674
Qwen2.5-14B-Instruct,woman,13,0.06598984771573604,6,0.061224489795918366,-0.004765357919817678
Qwen2.5-32B-Instruct,man,3,0.015228426395939087,1,0.01020408163265306,-0.005024344763286026
Qwen2.5-32B-Instruct,nonbinary person,32,0.16243654822335024,16,0.16326530612244897,0.0008287578990987254
Qwen2.5-3B-Instruct,nonbinary person,4,0.02030456852791878,2,0.02040816326530612,0.00010359473738734068
Qwen2.5-7B-Instruct,man,1,0.005076142131979695,1,0.01020408163265306,0.005127939500673365
Qwen2.5-7B-Instruct,nonbinary person,24,0.1218274111675127,12,0.12244897959183673,0.0006215684243240371
Qwen2.5-7B-Instruct,woman,2,0.01015228426395939,1,0.01020408163265306,5.179736869367034e-05
gemini-3-flash-preview,nonbinary person,31,0.15736040609137056,15,0.15306122448979592,-0.0042991816015746365
gemini-3-flash-preview,woman,2,0.01015228426395939,1,0.01020408163265306,5.179736869367034e-05
