model,dataset,pearson_r_overall_mean_genders,pearson_r_overall_mean_genders_lo,pearson_r_overall_mean_genders_hi,pearson_r_woman,pearson_r_woman_lo,pearson_r_woman_hi,pearson_r_man,pearson_r_man_lo,pearson_r_man_hi,pearson_r_nonbinary,pearson_r_nonbinary_lo,pearson_r_nonbinary_hi,overall_formatted,woman_formatted,man_formatted,nonbinary_formatted
claude-opus-4-6,all,0.6691930635206963,,,0.7954725814512487,,,0.6877863139219282,,,0.5243202951889121,,,"0.669 [—, —]","0.795 [—, —]","0.688 [—, —]","0.524 [—, —]"
Qwen2.5-14B,all,0.6516709048808407,,,0.7582726358886597,,,0.6324595524416878,,,0.5642805263121744,,,"0.652 [—, —]","0.758 [—, —]","0.632 [—, —]","0.564 [—, —]"
gpt-4o,all,0.6483126488668561,,,0.7442212553585213,,,0.6328942168554885,,,0.5678224743865583,,,"0.648 [—, —]","0.744 [—, —]","0.633 [—, —]","0.568 [—, —]"
Qwen2.5-14B-Instruct,all,0.618220488302513,,,0.7195014769788283,,,0.5725765405562637,,,0.5625834473724467,,,"0.618 [—, —]","0.720 [—, —]","0.573 [—, —]","0.563 [—, —]"
gpt-4o-mini,all,0.6111295681788527,,,0.7419491173061807,,,0.6252548762492315,,,0.4661847109811459,,,"0.611 [—, —]","0.742 [—, —]","0.625 [—, —]","0.466 [—, —]"
Qwen2.5-32B-Instruct,all,0.5682501587119063,,,0.6983564277678886,,,0.54326739344485,,,0.46312665492298044,,,"0.568 [—, —]","0.698 [—, —]","0.543 [—, —]","0.463 [—, —]"
gemini-3-flash-preview,all,0.5649511115070319,,,0.6985247461972299,,,0.5968523252578061,,,0.39947626306605977,,,"0.565 [—, —]","0.699 [—, —]","0.597 [—, —]","0.399 [—, —]"
Qwen2.5-32B,all,0.5621764393629158,,,0.7002065436261259,,,0.5665510472227795,,,0.41977172723984196,,,"0.562 [—, —]","0.700 [—, —]","0.567 [—, —]","0.420 [—, —]"
grok-4-1-fast-non-reasoning,all,0.5495340524278491,,,0.605559278289172,,,0.48591903840033024,,,0.5571238405940453,,,"0.550 [—, —]","0.606 [—, —]","0.486 [—, —]","0.557 [—, —]"
gpt-5.2,all,0.5463924948091933,,,0.6577356176893078,,,0.5675685040943368,,,0.41387336264393526,,,"0.546 [—, —]","0.658 [—, —]","0.568 [—, —]","0.414 [—, —]"
Mistral-7B-Instruct-v0.3,all,0.518824722961383,,,0.6284209016003272,,,0.5783647110531243,,,0.3496885562306974,,,"0.519 [—, —]","0.628 [—, —]","0.578 [—, —]","0.350 [—, —]"
OLMo2-7B-1124,all,0.4784153475815906,,,0.6580836738721445,,,0.4735190618288603,,,0.30364330704376696,,,"0.478 [—, —]","0.658 [—, —]","0.474 [—, —]","0.304 [—, —]"
Qwen2.5-7B-Instruct,all,0.46970846567217545,,,0.6332048385664832,,,0.47842945419755706,,,0.29749110425248587,,,"0.470 [—, —]","0.633 [—, —]","0.478 [—, —]","0.297 [—, —]"
OLMo-2-1124-7B-DPO,all,0.45539879774665737,,,0.5556205438083075,,,0.46830939196286686,,,0.3422664574687976,,,"0.455 [—, —]","0.556 [—, —]","0.468 [—, —]","0.342 [—, —]"
Meta-Llama-3-8B-Instruct,all,0.42272071005292755,,,0.49094258867215823,,,0.4437043800381174,,,0.3335151614485071,,,"0.423 [—, —]","0.491 [—, —]","0.444 [—, —]","0.334 [—, —]"
Meta-Llama-3-8B,all,0.40512144121843513,,,0.5774207323333325,,,0.45258079727889755,,,0.18536279404307532,,,"0.405 [—, —]","0.577 [—, —]","0.453 [—, —]","0.185 [—, —]"
Mistral-7B-v0.3,all,0.3986052184305147,,,0.45029772814818836,,,0.42282188229344947,,,0.3226960448499063,,,"0.399 [—, —]","0.450 [—, —]","0.423 [—, —]","0.323 [—, —]"
Qwen2.5-7B,all,0.3940697127862925,,,0.6177624339419228,,,0.464138677527005,,,0.10030802688994991,,,"0.394 [—, —]","0.618 [—, —]","0.464 [—, —]","0.100 [—, —]"
OLMo-2-1124-7B-SFT,all,0.3856314024809823,,,0.5257690803391157,,,0.34616992639699823,,,0.284955200706833,,,"0.386 [—, —]","0.526 [—, —]","0.346 [—, —]","0.285 [—, —]"
Qwen2.5-3B-Instruct,all,0.3654371961730733,,,0.5557706119370567,,,0.37902545060592663,,,0.16151552597623647,,,"0.365 [—, —]","0.556 [—, —]","0.379 [—, —]","0.162 [—, —]"
Qwen2.5-3B,all,0.30646261964332316,,,0.5034271637789658,,,0.25543552583388296,,,0.1605251693171208,,,"0.306 [—, —]","0.503 [—, —]","0.255 [—, —]","0.161 [—, —]"
gpt-oss-20b,all,0.17310597321215634,,,0.2606485666520798,,,0.3016194202373723,,,-0.04295006725298316,,,"0.173 [—, —]","0.261 [—, —]","0.302 [—, —]","-0.043 [—, —]"
