model,dataset,n,rmse,pearson_r,pearson_p,spearman_r,spearman_p,invalid,pct_invalid
Meta-Llama-3-8B,combined_llm,126.0,2.7977275242569433,0.5527093529690875,1.943121943661455e-11,0.521176031594553,3.9318607535268686e-10,0,0.0
Meta-Llama-3-8B,eval_novel,288.0,2.9202756772732545,0.5078009459491925,2.771857984897157e-20,0.4852507449500384,2.0333037339639133e-18,0,0.0
Meta-Llama-3-8B,eval_human,150.0,2.8510309960145155,0.4772324603832291,6.638571465758925e-10,0.4580501303828648,3.7757110066213085e-09,0,0.0
Meta-Llama-3-8B,all,564.0,2.8749223676969375,0.5057893194263441,5.777613308834617e-38,0.4861142693105922,8.666797916244935e-35,0,0.0
Meta-Llama-3-8B-Instruct,combined_llm,126.0,1.8905728961942252,0.4099362516346295,1.8710001022560362e-06,0.3768272298613389,1.3666487820331248e-05,0,0.0
Meta-Llama-3-8B-Instruct,eval_novel,288.0,1.988349357946879,0.469026762592143,3.695061905204738e-17,0.4502621986700465,8.775558006732527e-16,0,0.0
Meta-Llama-3-8B-Instruct,eval_human,150.0,1.7588366984093842,0.467841017995567,1.5757983837328979e-09,0.45906936715428703,3.4518192735145064e-09,0,0.0
Meta-Llama-3-8B-Instruct,all,564.0,1.9078974692777675,0.4588417409653721,1.029910027063834e-30,0.43924945402696025,5.2665676617115975e-28,0,0.0
Mistral-7B-v0.3,combined_llm,126.0,3.362347191772597,0.18456915012533529,0.03855115592828374,0.11806717130507831,0.18793821200412786,0,0.0
Mistral-7B-v0.3,eval_novel,288.0,3.231660618683713,0.14087475771575436,0.016744578488076776,0.18481823452729865,0.0016326527806752316,0,0.0
Mistral-7B-v0.3,eval_human,150.0,3.268702270025686,0.2042232661874061,0.012184072735692693,0.1938069986262169,0.017484322093616014,0,0.0
Mistral-7B-v0.3,all,564.0,3.2711140201074267,0.16922535444452239,5.364975546722136e-05,0.17389624034804535,3.2911844169973626e-05,0,0.0
Mistral-7B-Instruct-v0.3,combined_llm,116.0,1.74130143156606,0.5771078410062626,1.1947113590335022e-11,0.5622634411960363,5.104597581492098e-11,10,0.07936507936507936
Mistral-7B-Instruct-v0.3,eval_novel,264.0,1.9563113224576174,0.571755515530684,2.5697898913568626e-24,0.5647786933428569,1.2061871400674555e-23,24,0.08333333333333333
Mistral-7B-Instruct-v0.3,eval_human,141.0,1.632768947111062,0.687780298914417,4.4903683771261006e-21,0.6720376474079033,7.310757138368509e-20,9,0.06
Mistral-7B-Instruct-v0.3,all,521.0,1.826438678908974,0.6057157401224508,1.7539601654385893e-53,0.5955756114065022,2.5064465960971277e-51,43,0.07624113475177305
OLMo2-7B-1124,combined_llm,126.0,2.2308516660937636,0.5089749604763768,1.1614694825389381e-09,0.5163894415757737,6.044539077381653e-10,0,0.0
OLMo2-7B-1124,eval_novel,288.0,2.2887121836198214,0.5695358215871822,3.656364569637205e-26,0.5786855994523137,3.827967384175951e-27,0,0.0
OLMo2-7B-1124,eval_human,150.0,2.207257885875431,0.5366398910619217,1.4582065804204014e-12,0.5295836336501348,3.2145538492638473e-12,0,0.0
OLMo2-7B-1124,all,564.0,2.2544144229568053,0.550065478490734,6.427281575528185e-46,0.5534648161559365,1.4034879348936739e-46,0,0.0
OLMo-2-1124-7B-DPO,combined_llm,126.0,1.464729155775799,0.38547703904596886,8.297758461580217e-06,0.38995414439683845,6.373341057324857e-06,0,0.0
OLMo-2-1124-7B-DPO,eval_novel,288.0,1.5045785599768051,0.5233855944197212,1.175867551796386e-21,0.5295152889546274,3.242768951688607e-22,0,0.0
OLMo-2-1124-7B-DPO,eval_human,150.0,1.3913241636111726,0.5519796077050853,2.4511889694734164e-13,0.5493676419337294,3.342250280565907e-13,0,0.0
OLMo-2-1124-7B-DPO,all,564.0,1.466320309744813,0.5097509304811259,1.2498556010109137e-38,0.508266036223033,2.2238037718307225e-38,0,0.0
OLMo-2-1124-7B-SFT,combined_llm,126.0,1.445848789609349,0.4432751596707786,2.013390263818976e-07,0.42976674432017553,5.113698386953093e-07,0,0.0
OLMo-2-1124-7B-SFT,eval_novel,288.0,1.5499027588463021,0.4403000103776165,4.36465487897874e-15,0.4337496386858895,1.2183054443474068e-14,0,0.0
OLMo-2-1124-7B-SFT,eval_human,150.0,1.465794730772195,0.45476523855847373,5.031143776405046e-09,0.45943589028530923,3.3420266006064157e-09,0,0.0
OLMo-2-1124-7B-SFT,all,564.0,1.505025054431694,0.4485900178815881,2.8318866313597077e-29,0.44387255886090204,1.2535233716497794e-28,0,0.0
Qwen2.5-14B,combined_llm,126.0,1.348253189095221,0.6333663402238559,1.7429421611971062e-15,0.646990247791542,2.731561497732374e-16,0,0.0
Qwen2.5-14B,eval_novel,288.0,1.4962024023637628,0.6738353681560802,1.8006219547812603e-39,0.6820843274496985,9.218501642746201e-41,0,0.0
Qwen2.5-14B,eval_human,150.0,1.2985936993384635,0.7293907398941777,3.532256078796298e-26,0.7152251061251934,8.546715503682162e-25,0,0.0
Qwen2.5-14B,all,564.0,1.413408427455199,0.678151113751827,3.3296371640514985e-77,0.6783299704836065,2.933948677158872e-77,0,0.0
Qwen2.5-14B-Instruct,combined_llm,119.0,0.896407012027064,0.58694241964311,2.296577977299283e-12,0.5480987661068556,1.1045963636863928e-10,7,0.05555555555555555
Qwen2.5-14B-Instruct,eval_novel,277.0,1.1019123982134549,0.639658776504368,2.8214104256476988e-33,0.6308968027167154,3.724305918183245e-32,11,0.03819444444444445
Qwen2.5-14B-Instruct,eval_human,143.0,0.8246489967548734,0.7006428685708451,2.030303622626558e-22,0.6494557722371286,1.725154377976457e-18,7,0.04666666666666667
Qwen2.5-14B-Instruct,all,539.0,0.9908719948170375,0.6415513699749282,7.72380940441229e-64,0.6145066579097996,2.825764414180099e-57,25,0.044326241134751775
Qwen2.5-32B,combined_llm,126.0,0.9716248834746581,0.4868280393849328,7.463998081789631e-09,0.5083831959427724,1.222797167010604e-09,0,0.0
Qwen2.5-32B,eval_novel,288.0,1.3251181989951875,0.5827965537664872,1.356790495842458e-27,0.5668918053971784,6.928072413141218e-26,0,0.0
Qwen2.5-32B,eval_human,150.0,1.0587802936943418,0.6304336080672448,5.392927485876481e-18,0.6079805425805206,1.5737006795614345e-16,0,0.0
Qwen2.5-32B,all,564.0,1.1856212194215698,0.5834966542388031,9.216740448993537e-53,0.5690443249366455,1.0451909520679112e-49,0,0.0
Qwen2.5-32B-Instruct,combined_llm,126.0,1.0558340783500044,0.469426557576407,2.9425686462210266e-08,0.4646050657298349,4.2462811397626214e-08,0,0.0
Qwen2.5-32B-Instruct,eval_novel,288.0,1.3298559596763335,0.5689274183980401,4.237792162473198e-26,0.5494152145114147,4.112410679755065e-24,0,0.0
Qwen2.5-32B-Instruct,eval_human,150.0,1.0646228290785513,0.6482579576719072,3.026078758884796e-19,0.6198989814341809,2.7156081786668397e-17,0,0.0
Qwen2.5-32B-Instruct,all,564.0,1.205637695452165,0.5770118503817819,2.2594972235125705e-51,0.555995520501711,4.4698525123783705e-47,0,0.0
