model,dataset,n_overall,pearson_r_overall,pearson_r_overall_lo,pearson_r_overall_hi,n_woman,pearson_r_woman,pearson_r_woman_lo,pearson_r_woman_hi,n_man,pearson_r_man,pearson_r_man_lo,pearson_r_man_hi,n_nonbinary,pearson_r_nonbinary,pearson_r_nonbinary_lo,pearson_r_nonbinary_hi,pearson_r_mean_genders
Meta-Llama-3-8B,all,564,0.5057893194263441,,,188,0.5774207323333325,,,188,0.45258079727889755,,,188,0.18536279404307532,,,0.40512144121843513
Meta-Llama-3-8B-Instruct,all,564,0.4588417409653721,,,188,0.49094258867215823,,,188,0.4437043800381174,,,188,0.3335151614485071,,,0.42272071005292755
Mistral-7B-v0.3,all,564,0.3690677808309624,,,188,0.45029772814818836,,,188,0.42282188229344947,,,188,0.3226960448499063,,,0.3986052184305147
Mistral-7B-Instruct-v0.3,all,564,0.5767984818040466,,,188,0.6284209016003272,,,188,0.5783647110531243,,,188,0.3496885562306974,,,0.518824722961383
OLMo2-7B-1124,all,564,0.550065478490734,,,188,0.6580836738721445,,,188,0.4735190618288603,,,188,0.30364330704376696,,,0.4784153475815906
OLMo-2-1124-7B-DPO,all,564,0.5097509304811259,,,188,0.5556205438083075,,,188,0.46830939196286686,,,188,0.3422664574687976,,,0.45539879774665737
OLMo-2-1124-7B-SFT,all,564,0.4485900178815881,,,188,0.5257690803391157,,,188,0.34616992639699823,,,188,0.284955200706833,,,0.3856314024809823
Qwen2.5-14B,all,564,0.678151113751827,,,188,0.7582726358886597,,,188,0.6324595524416878,,,188,0.5642805263121744,,,0.6516709048808407
Qwen2.5-14B-Instruct,all,551,0.6342561943381141,,,178,0.7195014769788283,,,185,0.5725765405562637,,,188,0.5625834473724467,,,0.618220488302513
Qwen2.5-32B,all,564,0.5834966542388031,,,188,0.7002065436261259,,,188,0.5665510472227795,,,188,0.41977172723984196,,,0.5621764393629158
Qwen2.5-32B-Instruct,all,564,0.5770118503817819,,,188,0.6983564277678886,,,188,0.54326739344485,,,188,0.46312665492298044,,,0.5682501587119063
Qwen2.5-3B,all,564,0.4021417891110929,,,188,0.5034271637789658,,,188,0.25543552583388296,,,188,0.1605251693171208,,,0.30646261964332316
Qwen2.5-3B-Instruct,all,564,0.45552011261904135,,,188,0.5557706119370567,,,188,0.37902545060592663,,,188,0.16151552597623647,,,0.3654371961730733
Qwen2.5-7B,all,564,0.5153079874556603,,,188,0.6177624339419228,,,188,0.464138677527005,,,188,0.10030802688994991,,,0.3940697127862925
Qwen2.5-7B-Instruct,all,564,0.5318208202419694,,,188,0.6332048385664832,,,188,0.47842945419755706,,,188,0.29749110425248587,,,0.46970846567217545
gpt-oss-20b,all,564,0.12774668230240188,,,188,0.2606485666520798,,,188,0.3016194202373723,,,188,-0.04295006725298316,,,0.17310597321215634
claude-opus-4-6,all,564,0.7094342701950672,,,188,0.7954725814512487,,,188,0.6877863139219282,,,188,0.5243202951889121,,,0.6691930635206963
gemini-3-flash-preview,all,532,0.6037083586863315,,,186,0.6985247461972299,,,188,0.5968523252578061,,,158,0.39947626306605977,,,0.5649511115070319
gpt-4o,all,564,0.6589568911668644,,,188,0.7442212553585213,,,188,0.6328942168554885,,,188,0.5678224743865583,,,0.6483126488668561
gpt-4o-mini,all,564,0.6603626394346497,,,188,0.7419491173061807,,,188,0.6252548762492315,,,188,0.4661847109811459,,,0.6111295681788527
gpt-5.2,all,564,0.5569418039348497,,,188,0.6577356176893078,,,188,0.5675685040943368,,,188,0.41387336264393526,,,0.5463924948091933
grok-4-1-fast-non-reasoning,all,564,0.44269576508747255,,,188,0.605559278289172,,,188,0.48591903840033024,,,188,0.5571238405940453,,,0.5495340524278491
