novel_name,gender,attribute_count,unique_attribute_count
gameofthrones1,male,322,294
gameofthrones1,unknown,119,108
gameofthrones1,female,166,153
gameofthrones1,"male},{",1,1
gameofthrones1,"unknown},{",1,1
harrypotter1,male,63,58
harrypotter1,female,7,7
harrypotter1,unknown,8,8
hungergames1,unknown,21,21
hungergames1,female,19,17
hungergames1,male,29,27
lordoftherings1,unknown,27,24
lordoftherings1,male,73,67
lordoftherings1,female,9,9
mazerunner,unknown,20,18
mazerunner,male,46,42
mazerunner,female,7,6
twilight1,unknown,26,26
twilight1,female,38,36
twilight1,male,72,66
twilight1,"unknown},{",2,2
